Date,Type,Actual,Lasso + Linear_Prediction,All Linear Models_Prediction,Linear + Random Forest_Prediction,All Tree Models_Prediction,All Models_Prediction
2003-01-01,Train,5.14183689245059,5.059270473108283,5.08587049990194,5.125098388868066,5.129692084451986,5.107781292176964
2003-02-01,Train,5.12577420218942,5.046687575969074,5.0726078479817325,5.1213743018365046,5.122369997198731,5.097488922590231
2003-03-01,Train,5.10759136403637,5.0309461937841204,5.055448726865262,5.100748806415718,5.102394393788461,5.078921560326862
2003-04-01,Train,5.08060016129231,5.010599258516171,5.036935032087358,5.077681572971635,5.079086596080461,5.058010814083909
2003-05-01,Train,5.05164144313482,4.984070907086769,5.0089366368515735,5.046648361476429,5.047843498067338,5.028390067459456
2003-06-01,Train,5.01714441204678,4.9556995237814,4.9760160769389765,5.012920095010493,5.0142792072454325,4.9951476420922045
2003-07-01,Train,4.97686652825667,4.921454906426469,4.9393703845779955,4.978871141780317,4.979478776456889,4.959424580517442
2003-08-01,Train,4.93463088829286,4.884052137877504,4.901551728887477,4.931989065616783,4.931912881444593,4.916732305166035
2003-09-01,Train,4.88520194332315,4.842199292317668,4.85691604662247,4.885961502468939,4.886389261063548,4.871652653843008
2003-10-01,Train,4.83604888360406,4.7979652137184186,4.809934214308016,4.841108900680917,4.837957612596873,4.8239459134524445
2003-11-01,Train,4.78266984494387,4.750578133247322,4.757358716435104,4.797637282167483,4.794076411171612,4.775717563803358
2003-12-01,Train,4.73001401136385,4.702798476732694,4.711510650582402,4.737251066298697,4.735145118504429,4.723327884543415
2004-01-01,Train,4.68015646429206,4.656280101418734,4.663320296224458,4.683436307199148,4.682520564331855,4.672920430278157
2004-02-01,Train,4.62963397588071,4.611123726872762,4.61701723978227,4.633840158792377,4.634117991771057,4.625567615776664
2004-03-01,Train,4.58695108754979,4.568674086590727,4.574091971467872,4.601523598871773,4.5957718771764675,4.584931924322169
2004-04-01,Train,4.54258462386595,4.5294797702879706,4.531171931597515,4.536918868142215,4.538259191220469,4.534715561408992
2004-05-01,Train,4.50226173520112,4.491327249651894,4.496230574143013,4.498736178460481,4.498871907709095,4.497551240926054
2004-06-01,Train,4.46458938953577,4.456270910271751,4.461538641027254,4.471275700443332,4.470741289878776,4.4661399654530145
