Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_Adj_R2,Test_Adj_R2
Lasso + Linear,0.05498199048269196,0.018387175229388663,0.03900305341055447,0.015387963858013946,0.9902740788447835,0.9926233145085884,0.6595927595674214,0.9926233145085884
All Linear Models,0.03700452403141,0.04743576834957243,0.02634898473466606,0.04087539119808522,0.9955944567116949,0.9509043384095258,0.845805984909321,0.9509043384095258
Linear + Random Forest,0.011090415510998798,0.07506613909301972,0.005713731416451499,0.055467837177929115,0.9996042823118408,0.877052586683658,0.9861498809144295,0.877052586683658
All Tree Models,0.007584034803346178,0.22106461101414962,0.004086830537659925,0.17014162249434747,0.9998149494149081,-0.06627612852530751,0.9935232295217841,-0.06627612852530751
All Models,0.020720940390228638,0.13343545441174248,0.014182872314785528,0.10518220005652865,0.9986186340373113,0.6115154822465918,0.9516521913058964,0.6115154822465918
